SOG,Duration
9.156556,755
12.61426,560
13.906383,517
13.209701,539
12.823679,553
12.409605,586
13.896289,511
15.39154,465
14.570143,488
11.184603,643
12.863016,556
12.687611,564
13.405973,518
14.212971,477
13.363985,546
13.594091,531
13.350195,512
13.358835,531
14.011155,510
10.035112,711
11.866566,662
15.422838,450
12.943273,549
15.196026,452
13.75697,495
14.27336,502
13.502335,514
11.48127,632
10.874586,664
10.421501,692
13.037912,547
12.24641,570
9.083824,748
15.123591,478
14.308824,514
13.073889,541
12.760036,565
14.798783,495
15.39154,465
13.164825,544
9.508926,661
10.975309,651
13.405973,518
14.212971,477
13.350195,512
11.466779,594
12.03504,625
13.246124,515
12.949027,565
11.569622,609
11.605159,659
10.359537,734
13.422989,522
15.151701,446
10.822629,738
10.191771,719
14.253953,505
13.96502,510
14.134432,706
13.492885,519
13.50203,545
15.657174,452
12.80125,559
12.73447,558
9.818306,675
8.919552,804
11.547261,638
10.062251,701
12.863016,556
12.687611,564
13.49368,537
13.369557,541
12.965568,546
12.565391,575
11.936797,587
10.955752,678
14.477096,489
13.49023,522
14.454508,487
13.358835,531
13.124906,533
9.727688,746
10.735202,641
14.011155,510
12.888745,542
12.969355,557
11.941167,617
14.499208,505
14.144882,507
13.559345,521
14.175198,504
11.786872,616
13.087321,560
12.439551,579
14.941438,474
10.008439,710
13.849905,534
12.808778,581
13.75725,530
12.421552,579
12.274106,586
13.509459,517
12.700894,558
12.894004,567
11.116847,650
14.217682,509
13.512357,526
11.769502,624
12.322472,533
11.249918,610
8.564971,776
11.48127,632
10.421501,692
14.570143,488
9.913478,690
13.405973,518
14.003181,503
14.212971,477
13.350195,512
13.246124,515
8.59787,797
11.866566,662
8.099212,760
13.542604,507
13.073889,541
12.231076,575
12.760036,565
10.359537,734
14.798783,495
15.151701,446
12.444007,609
10.191771,719
11.854409,600
14.239468,490
15.39154,465
12.160677,678
12.625659,568
10.087755,783
13.594091,531
11.466779,594
12.03504,625
12.949027,565
11.569622,609
11.605159,659
11.509958,719
13.422989,522
14.253953,505
12.213582,590
15.54115,452
12.622262,560
14.134432,706
12.024831,599
15.408261,466
